"","DatasetID","Latitude","Longitude","yr250 ","yr750 ","yr1250 ","yr1750 ","yr2250 ","yr2750 ","yr3250 ","yr3750 ","yr4250 ","yr4750 ","yr5250 ","yr5750 ","yr6250 ","yr6750 ","yr7250 ","yr7750 ","yr8250 ","yr8750 ","yr9250 ","yr9750 ","yr10250 ","yr10750 ","yr11250 ","yr11750 ","yr12250 ","yr12750 ","yr13250 ","yr13750 ","yr14250 ","yr14750 "
"656",10155,43.09816,-78.002715,0.483373809079021,0,0.478468899521531,0.75,0,0.378673328512261,0.649350649350649,0.359712230215827,0.482312933126875,0,0.183823529411765,0,0,0,0,0,0,0.493827160493827,0,0.213675213675214,1.50375939849624,10.7936507936508,31.7365269461078,37.5,43.8118811881188,0,0,0,0,0
"657",10156,44.988845,-93.556405,0.148620121227665,0.210910408018764,0.0945182910898032,0.242522231204527,0.577962471019205,0.120772946859903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"658",10157,43.09791,-78.014515,0,0,0.186567164179104,0.181159420289855,0,0.201612903225806,0.353356890459364,0,0,0,0.25,0,0,1.18694362017804,0,0,0.227272727272727,0,0,6.31868131868132,5.20231213872832,0,0,0.597014925373134,0,0,1.61290322580645,7.86516853932584,0,6.1381074168798
"659",10160,43.800155,-89.59428,0.313714939983802,0.284735843075298,0.343453372804214,0.240810286647083,0.127030215044007,0.200633664640226,0.0651041666666667,0.17683465959328,0,0,0.0791765637371338,0,0.126742712294043,0,0.0737463126843658,0.393700787401575,0,1.82241490044958,0,1.02249488752556,12.8669279411377,36.4342431283617,20.0931487618522,0,0,0,0,0,0,0
"660",10163,46.34668,-84.857625,1.7888439963354,1.90067581171865,2.98562387188312,1.45982891964522,2.76699491551661,1.77561459154374,1.82180207478484,2.10558867707014,1.73572207532231,1.37103755254588,1.54492046099974,2.15059328261335,1.11444978632479,0.653586518856543,1.62273533387031,1.04514530612672,2.27956166367699,3.26609922276169,6.25533360847079,0,0,0,0,0,0,0,0,0,0,0
"661",10164,46.12683,-84.77968,3.30396475770925,2.23928342930262,1.84089414858646,1.23552123552124,0.808625336927224,2.3175965665236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"662",10168,46.205,-85.0215,2.85714285714286,3.69587215395448,1.56695156695157,3.18877551020408,1.84254606365159,2.05479452054794,1.80976995311459,1.84251395523653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"663",10169,45.00373,-93.574555,0.346724107380063,0.468617836542411,0.0723347058412143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"664",10172,42.5375,-72.1829,2.83937400865869,0.946520474379056,1.22975836918751,0,1.45631067961165,0,0.31104199066874,0.0697389809607444,0.220480262589617,0.130890052356021,0,0.656814449917898,0,0,0,0,0.303951367781155,1.71589664663924,0.651769087523277,0.591016548463357,1.96852309304589,16.2264150943396,39.0832328106152,67.2371638141809,52.7220630372493,37.0441458733205,56.5934065934066,11.2254763339175,0,0
"665",10172,42.5375,-72.1829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86473429951691,9.57178841309824,13.2352941176471,48.0054596420087,54.4327497884402,42.8022465267514,31,37.4098103734359,12.4338624338624,0
"666",10186,42.028785,-74.604205,0,0,0,0,0.0856164383561644,0.154456148656646,0,0,0,0,0.107874865156419,0,0,0,0,0,0.108225108225108,0.337430294753613,0,0.285714285714286,0.545703607748545,0.711743772241993,9.39853556485356,16.5898617511521,14.4463289200131,29.2142970548543,13.5670991311663,3.9112686866217,1.92307692307692,0.23696682464455
"667",10211,47.683805,-95.398395,3.25127620855124,0.48780487804878,0.479368726977797,1.50713582677165,1.2787989028575,1.61124426288365,1.21139180027457,0.28425918484586,1.02962667729507,0.15893763734182,0.128205128205128,0.541007688484813,0.279329608938547,0.242574557936314,0.346431917067985,0.144508670520231,0,0.892475910464148,1.09487721899981,6.65140315736037,13.0663680270139,0,0,0,0,0,0,0,0,0
"668",10215,43.2765,-79.9075,0.160170189958421,0.0422310082903677,0.0143020594965675,0.0726216412490922,0.0519480519480519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"669",10226,46.089,-91.939,1.32575757575758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"670",10227,50.71505,-57.374385,22.5058004640371,18.8606194690265,16.8846339373781,8.61449634394853,8.61827902253294,18.0235449403476,20.4747774480712,13.4114583333333,22.1864951768489,10.1508916323731,20,10.0981767180926,20.1653897655076,13.28125,11.5371004781086,4.11356424488615,0.482800241400121,8.21436055039464,8.68536371603856,0,0,0,0,0,0,0,0,0,0,0
"671",10229,45.9275,-92.256,0.714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"672",10233,46.405,-91.525,1.0230179028133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"673",10234,45.959335,-92.10745,1.16472545757072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"674",10235,46.50045,-91.4105,1.26126126126126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"675",10239,43.35538,-85.3568,4.76659437793131,3.25490514263888,2.90301496175057,2.88464502794758,3.75201700173008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"676",10240,46.013,-92.125,0.938732175892644,0.984097537844979,0.577532115377087,0.636272046701602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"677",10242,44.022755,-85.283325,6.37896987504681,6.93233773703626,8.39822718831442,14.7114494005758,12.1720708702994,5.42287541675172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"678",10251,42.861,-85.2115,1.38243921649757,1.18402348010577,1.42300309476241,0.913376130419718,1.45802371728936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"679",10280,43.02469,-77.57376,0,0,0,0.75187969924812,0.291848562396508,0.0625390869293308,0,0.0905797101449275,0.0922509225092251,0,0,0,0,0,0,0,0,0,0.147492625368732,0.137174211248285,1.14192495921697,0,3.73134328358209,38.2198952879581,39.2405063291139,34.3457943925234,32.1917808219178,0,0,0
"680",10286,51.435,-83.6175,21.9210225348693,33.3338148201647,9.21704658077304,10.7064924077775,13.7301928625411,34.6555323590814,19.9989744673446,0,0,23.4308377225984,26.8237986270023,13.1913782619041,22.8486646884273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"681",10300,51.6175,-82.293,16.6746653868714,27.2352541220466,25.3333333333333,17.1270161290323,22.680412371134,23.4042553191489,14.5153774464119,27.4284773197817,22.2019104084321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"682",10303,51.0289,-84.488,21.3793103448276,42.404347826087,44.3653026041194,32.8358208955224,29.8943528593741,34.0853158326497,32.183908045977,33.7149976269578,28.9512335054504,31.9486539490105,32.3076923076923,11.6672218520986,11.9594519854774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"683",10316,46.520515,-86.35387,2.80062129736493,2.48935245545415,1.49476831091181,0.56912938585839,0.430049344629027,0.609906414060717,0.199004975124378,0.298723070338137,0.593958600835223,0.579576162708007,0.478206965398425,0.585041163075845,0.679430859857322,0.285671927743819,0,1.83506838130231,6.98884880828845,0,0,0,0,0,0,0,0,0,0,0,0,0
"684",2956,46.833333,-87.921389,1.00760387450212,0.521306292671442,1.01549748381995,0.655182244865579,0.894641491516717,0,0,0,0.78740157480315,1.64203612479475,0.535991762812703,0.200400801603206,0.0797448165869219,0,0,0,0.6265664160401,0.465983224603914,3.15994723934505,3.9147499754868,6.26774485557538,12.961995995062,11.8429913166755,0,0,0,0,0,0,0
"685",10334,45.42715,-61.3427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86084142394822,3.87953768419859,0.3948602634115,0.980487569411043,0
"686",10347,52.331985,-67.35709,0,0,65.6565656565657,61.13074204947,52.4752475247525,45.0704225352113,64.593603776738,50.7109004739336,47.1545784128734,40.0390625,40.7871298151859,13.4620207773725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"687",10352,46.3073,-91.19829,0.668095694342271,0.374680172444008,0.543729519124085,0.400335488094264,0.577502699136276,0.404858299595142,0,0.0827814569536424,0.38517616091043,0.287467847739068,0.094876660341556,0,0.256410256410256,0.125628140703518,0.233100233100233,0,0.221729490022173,0.851063829787234,0,0.859879492746899,7.11572729223685,31.42351797862,0,0,0,0,0,0,0,0
"688",10354,44.3897,-64.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02476780185759,0,0,0,0,0,0,0,0,0,1.62337662337662,0
"689",10355,63.66675,-65.1513,4.74683544303798,7.51162417829084,10.410094637224,10.2803738317757,6.31229235880399,9.59752321981424,4.33155302911995,4.94686138083951,3.67836940482046,3.53168446038286,4.1058802844552,2.95254215636178,1.28772948864226,0.80213348829487,0.428571428571429,0.162337662337662,0.3584229390681,0.162866449511401,0.653096477011004,0.321382423392357,0.630914826498423,0,0,0,0,0,0,0,0,0
"690",10225,44.979797,-63.48817,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6918238993711,0,0,0,16.10337972167,0,0,0,0,7.88990825688073,0,5.33751962323391,16.4520339009702,19.1479329721848,19.1316062731468,0,0
"691",10362,42.417875,-72.34693,0.549370754737932,0.574837767150915,0.382731452927315,0.403095191069308,0.351500765801981,0.139442377348268,0.297712203718187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"692",10376,46.89451,-67.4,6.23068552774755,5.31400966183575,4.55212922173275,0,2.48366013071895,1.64705882352941,2.16450216450216,1.20845921450151,1.10935023771791,1.47783251231527,0.843170320404722,1.39366671038163,1.90299227799228,3.28147853124174,9.34844192634561,14.3167028199566,11.6279069767442,13.1868131868132,10.8786610878661,21.1267605633803,24.7910863509749,10.9809663250366,5.35076795350768,5.51302148377068,9.3007042329937,11.0294112198961,0,0,0,0
"693",10378,45.2235,-64.3751,2.10526315789474,2.59067357512953,0,3.73134328358209,0,0,3.31325301204819,0,6.45161290322581,0,33.1081081081081,37.4045801526718,0,0,6.89655172413793,3.37078651685393,0,5.9016393442623,6.25,0,3.39506172839506,0,0,0,1.58730158730159,0,2.3696682464455,1.82926829268293,4.70588235294118,0
"694",10389,42.5625,-72.18,0.16161655438669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"695",10390,42.5625,-72.18,0.054329528481871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"696",10394,63.397585,-64.261165,12.4203821656051,15.8415841584158,0,9.6551724137931,11.3268608414239,11.9601328903654,12.3028391167192,13,13.1832797427653,0,0,8.08080808080808,0,0,2.98953662182362,0,1.85185185185185,0.869565217391304,0,0,1.42882818116463,0,0.495049504950495,0,0,0,0,0,0,0
"697",10395,32.572,-83.0795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.884955752212389,0,0.678733031674208,0,0,0,0,1.12359550561798
"698",10400,42.508,-72.1775,0.0452154846405583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"699",10400,42.508,-72.1775,0.069526583498319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"700",2536,41.038875,-75.263845,5.50237204313846,10.0296517647361,6.71341760091054,4.69961895324572,3.50877192982456,1.22331430987106,1.09649122807018,1.21457489878543,1.29310344827586,2.26125228367381,0.192307692307692,0,0,0,0,0,0,0,1.28676470588235,1.87602515035539,1.84699700601944,3.81224775299636,11.1146119059975,0,0,0,0,0,0,0
"701",10412,46.11935,-92.03985,2.53321273572556,1.3823713791471,2.97218104344555,1.88867670150016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"702",10413,42.234015,-88.357005,10413,42.234015,-88.357005,10413,42.234015,-88.357005,10413,42.234015,-88.357005,10413,42.234015,-88.357005,10413,42.234015,-88.357005,10413,42.234015,-88.357005,10413,42.234015,-88.357005,10413,42.234015,-88.357005,10413,42.234015,-88.357005,10413,42.234015,-88.357005
"703",10413,42.234015,-88.357005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22737608003638,0.395592124475234,0.345761113621787,0.0843005089038519,0.144336228832149,0.38548368934263,0.264947246195863,0.435903541705972,0.172452159789974,2.00903804416413,17.3758661273869,36.0830539799112,19.4678118655183,28.3625206518247,30.522470496245,51.1913194755777,64.8088139345954
"704",10415,40.99967,-74.91347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294985250737463,0.375128901235347,0.418753760924873,2.37500215202027,10.285965933126,11.9929428049247,13.5155823521416,11.9979047875884,25.6667957267948,58.0060422960725,0
"705",10422,43.04099,-78.399245,0.236527428544385,0.099009900990099,0.0735023888276369,0.119189511323004,0.0483091787439614,0,0.168133551763247,0.0243013365735115,0.0657894736842105,0.152585044394201,0.128849649201511,0,0.0591715976331361,0.0382701875239189,0.016220600162206,0.0853242320819113,0.11454753722795,0.296150049358342,0.0868809730668983,0,0.366856916000304,0,2.03900709219858,9.3816631130064,38.3705650459921,42.7341483941748,44.6315789473684,23.1845062326119,15.5083045804458,18.7696936431461
"706",10424,42.94975,-73.85325,0,0,0,4.6911175202085,4.54996392496392,0,0.403278156442713,0.880052898727984,1.28231233083898,1.39248958400758,1.56102889206097,1.09109026011878,1.18343195266272,1.51299025442157,1.65772878856683,1.14503816793893,1.83312388573245,0.748150738419398,3.18859853030745,3.39799051059064,2.98657876733652,2.29819970126655,3.9716201956266,15.6913145812117,62.4619773289181,61.2774451097804,0,0,0,0
"707",10428,46.24378,-89.2758,0,0.840336134453782,0,0.554016620498615,0,0.543478260869565,0,0.531914893617021,0,0.280898876404494,0.244498777506112,0,0.284090909090909,0,0,0,1.97183098591549,1.12676056338028,0,0,0,0,0,0,0,0,0,0,0,0
